NODE_ID,NODE_NAME,x,y
"2030106300",영통롯데캐슬2단지,127.0387353283,37.2413253417
"2030106400",영통롯데캐슬2단지,127.0388884919,37.2413257203
"2030106600",영통롯데캐슬2단지,127.0387997188,37.2414333341
"2030106900",영통롯데캐슬2단지,127.0389438197,37.2414324718
"2030107000",영통롯데캐슬2단지,127.0402315036,37.2404205849
"2882084100",한들물빛도시2단지,127.0844897000,36.7866160291
"2010093300",곡반정동88-27,127.0356932716,37.2377803074
"2010093500",곡반정동88-27,127.0357061069,37.2378618587
"2140380400",율북리1136,126.9736004009,37.0568724129
"2790265400",상촌교차로,127.5336065198,36.7793110086
"2790265500",상촌교차로,127.5335568543,36.7794063712
"2790265600",상촌교차로,127.5337760021,36.7792391928
"2790266000",상촌교차로,127.5340526749,36.7794605687
"2790265700",상촌교차로,127.5339773987,36.7792832214
"2790265800",상촌교차로,127.5336678309,36.7796154915
"2790265900",상촌교차로,127.5338284316,36.7796339005
"2790266100",상촌교차로,127.5339838981,36.7795702905
"2882094500",장재1교차로,127.1017383382,36.7843019660
"2882094900",장재1교차로,127.1044011169,36.7824303140
"2882095100",장재1교차로,127.1024956368,36.7841583663
"2882095300",장재1교차로,127.1041443277,36.7829834927
"2882095600",장재1교차로,127.1043481469,36.7842095237
"2882095700",장재1교차로,127.1039028797,36.7846246747
"2882095800",장재1교차로,127.1035151343,36.7856515745
"2882095900",장재1교차로,127.1036422098,36.7856371041
"2882096000",장재1교차로,127.1057932086,36.7844286512
"2030107600",반정동621-83,127.0438647317,37.2380781408
"2140380000",한산리878,126.9664568300,37.0612189377
"2140380100",한산리878,126.9664009546,37.0612979731
"2140380200",한산리878,126.9666143455,37.0612867452
"2140380300",한산리878,126.9665563550,37.0613686367
"2140382300",율북리1126,126.9693137291,37.0612903633
"2140382400",율북리1126,126.9692584857,37.0613684435
"2140382500",율북리1126,126.9694701799,37.0613634777
"2140382600",율북리1126,126.9694160162,37.0614425038
"2140382800",율북리1128-3,126.9686638352,37.0622000431
"2140382900",율북리1157,126.9753377455,37.0568871630
